,price,size,distance,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality
0,750.0,60.0,7037,1,1,1,3,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
1,750.0,70.0,16145,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,735.546085805312
2,400.0,67.0,55041,1,2,2,2,0,0.0,0.0,0.0,0.0,1.0,0.0,546.4573863636364
3,590.0,70.0,56596,1,3,2,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,641.4573863636364
4,684.0,45.0,10656,1,0,1,-3.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
5,600.0,73.0,37062,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,646.4573863636364
6,600.0,71.0,44126,1,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,633.095639357559
7,550.0,53.0,4008,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
8,700.0,28.0,5569,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
9,700.0,86.0,31153,1,2,1,3,1,0.0,0.0,1.0,0.0,0.0,0.0,696.4573863636364
10,700.0,45.0,2046,0,1,1,5,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
11,550.0,54.0,26233,1,2,1,0.5,0,0.0,0.0,0.0,1.0,0.0,0.0,641.3188116420554
12,695.0,64.0,15747,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,735.546085805312
13,650.0,68.0,42410,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,679.8180244407931
14,700.0,30.0,3247,0,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
15,700.0,35.0,1894,0,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
16,700.0,43.0,4442,1,1,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
17,650.0,60.0,3985,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
18,650.0,206.0,43195,0,3,1,-3.0,-1,1.0,0.0,0.0,0.0,0.0,0.0,670.6797922079181
19,700.0,105.0,44003,1,3,2,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,654.092671611573
20,695.0,40.0,2271,0,1,1,4,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
21,675.0,40.0,23556,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,689.1730533221507
22,750.0,45.0,1027,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
23,750.0,99.0,43492,1,3,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,654.092671611573
24,680.0,38.0,2591,0,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
25,750.0,51.0,11896,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
26,750.0,60.0,21316,1,1,1,2,0,0.0,0.0,0.0,0.0,1.0,0.0,721.4573863636364
27,750.0,25.0,533,0,0,1,4,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
28,750.0,40.0,1989,0,1,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
29,650.0,62.0,7841,1,2,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
30,750.0,30.0,935,1,0,1,3,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
31,750.0,39.0,2036,0,1,1,5,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
32,700.0,62.0,8492,1,2,1,3,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
33,747.0,96.0,26611,1,3,2,1,1,0.0,0.0,0.0,1.0,0.0,0.0,696.9979010385982
34,640.0,35.0,7324,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
35,750.0,30.0,2133,0,1,1,-2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
36,750.0,70.0,28703,1,2,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
