,price,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality,size_standard,distance_standard
0,750.0,1,1,1,3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.18025418247338923,-0.680227654443429
1,750.0,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,735.546085805312,0.7416743256668471,0.018574024389791798
3,590.0,1,3,2,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,641.4573863636364,0.7416743256668471,3.1221342692824816
4,684.0,1,0,1,-3.0,-1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-0.6618760323167975,-0.4025637023466541
5,600.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,646.4573863636364,0.9101003686248844,1.6234087538753519
6,600.0,1,1,1,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0,633.095639357559,0.7978163399861928,2.165386691872483
7,550.0,1,1,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.21273991776203124,-0.9126244797822329
8,700.0,1,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.6162902757456759,-0.7928584037327536
9,700.0,1,2,1,3.0,1,0.0,0.0,1.0,0.0,0.0,0.0,696.4573863636364,1.6399465547763796,1.1700469708027232
10,700.0,0,1,1,5.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.6618760323167975,-1.0631568572384011
11,550.0,1,2,1,0.5,0,0.0,0.0,0.0,1.0,0.0,0.0,641.3188116420554,-0.15659790344268545,0.7925651680074391
12,695.0,1,2,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,735.546085805312,0.40482223975077236,-0.011962105185924268
13,650.0,1,2,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,679.8180244407931,0.6293902970281555,2.0337284045560793
14,700.0,0,1,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.5040062471069844,-0.9710114009056499
15,700.0,0,1,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.2232961755102554,-1.074818896674353
16,700.0,1,1,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.7741600609554891,-0.8793262882348442
17,650.0,1,2,1,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.18025418247338923,-0.9143891304863573
20,695.0,0,1,1,4.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.9425861039135265,-1.0458939699154461
21,675.0,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,689.1730533221507,-0.9425861039135265,0.5871751708361027
22,750.0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-0.6618760323167975,-1.1413385558254732
23,750.0,1,3,2,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,654.092671611573,2.369792740927875,2.1167437115935788
24,680.0,0,1,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.054870132552218,-1.021342307945021
25,750.0,1,1,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.3250239464007228,-0.3074260122112573
26,750.0,1,1,1,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,721.4573863636364,0.18025418247338923,0.4153135370431279
27,750.0,0,0,1,4.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.7847163187037132,-1.1792401839923168
