,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,floor,hasLift
0,750.0,697.554347826087,60.0,1,682.5166666666667,694.5382165605096,705.6331360946746,7037,697.9574468085107,1
1,750.0,697.554347826087,70.0,1,697.96875,694.5382165605096,735.546085805312,16145,678.3448275862069,0
3,590.0,697.554347826087,70.0,1,705.2307692307693,677.5945945945946,641.4573863636364,56596,670.1111111111111,0
4,684.0,689.625,45.0,1,690.8571428571429,694.5382165605096,705.6331360946746,10656,670.1111111111111,-1
5,600.0,697.554347826087,73.0,1,697.96875,694.5382165605096,646.4573863636364,37062,697.9574468085107,0
6,600.0,689.2857224885634,71.0,1,682.5166666666667,694.5382165605096,633.095639357559,44126,701.7571428571429,0
7,550.0,697.554347826087,53.0,1,682.5166666666667,694.5382165605096,705.6331360946746,4008,701.7571428571429,0
8,700.0,689.625,28.0,1,690.8571428571429,694.5382165605096,705.6331360946746,5569,701.7571428571429,0
9,700.0,689.2857224885634,86.0,1,697.96875,694.5382165605096,696.4573863636364,31153,697.9574468085107,1
10,700.0,697.554347826087,45.0,0,682.5166666666667,694.5382165605096,705.6331360946746,2046,714.4372244662253,0
11,550.0,697.554347826087,54.0,1,697.96875,694.5382165605096,641.3188116420554,26233,679.2586806910215,0
12,695.0,697.554347826087,64.0,1,697.96875,694.5382165605096,735.546085805312,15747,701.7571428571429,0
13,650.0,697.554347826087,68.0,1,697.96875,694.5382165605096,679.8180244407931,42410,678.3448275862069,0
14,700.0,697.554347826087,30.0,0,682.5166666666667,694.5382165605096,705.6331360946746,3247,701.7571428571429,1
15,700.0,697.554347826087,35.0,0,682.5166666666667,694.5382165605096,705.6331360946746,1894,701.7571428571429,0
16,700.0,697.554347826087,43.0,1,682.5166666666667,694.5382165605096,705.6331360946746,4442,696.1785714285714,1
17,650.0,697.554347826087,60.0,1,697.96875,694.5382165605096,705.6331360946746,3985,701.7571428571429,0
20,695.0,697.554347826087,40.0,0,682.5166666666667,694.5382165605096,705.6331360946746,2271,715.6060606060603,1
21,675.0,697.554347826087,40.0,1,682.5166666666667,694.5382165605096,689.1730533221507,23556,678.3448275862069,0
22,750.0,689.625,45.0,0,690.8571428571429,694.5382165605096,705.6331360946746,1027,678.3448275862069,1
23,750.0,697.554347826087,99.0,1,705.2307692307693,677.5945945945946,654.092671611573,43492,701.7571428571429,1
24,680.0,697.554347826087,38.0,0,682.5166666666667,694.5382165605096,705.6331360946746,2591,701.7571428571429,1
25,750.0,697.554347826087,51.0,1,682.5166666666667,694.5382165605096,705.6331360946746,11896,701.7571428571429,1
26,750.0,619.9090096269214,60.0,1,682.5166666666667,694.5382165605096,721.4573863636364,21316,696.1785714285714,0
27,750.0,689.625,25.0,0,690.8571428571429,694.5382165605096,705.6331360946746,533,715.6060606060603,1
28,750.0,697.554347826087,40.0,0,682.5166666666667,694.5382165605096,705.6331360946746,1989,701.7571428571429,0
29,650.0,697.554347826087,62.0,1,697.96875,694.5382165605096,705.6331360946746,7841,701.7571428571429,0
30,750.0,689.625,30.0,1,690.8571428571429,694.5382165605096,705.6331360946746,935,697.9574468085107,0
31,750.0,697.554347826087,39.0,0,682.5166666666667,694.5382165605096,705.6331360946746,2036,714.4372244662253,0
32,700.0,697.554347826087,62.0,1,697.96875,694.5382165605096,705.6331360946746,8492,697.9574468085107,0
33,747.0,697.554347826087,96.0,1,705.2307692307693,677.5945945945946,696.9979010385982,26611,701.7571428571429,1
34,640.0,689.625,35.0,1,690.8571428571429,694.5382165605096,705.6331360946746,7324,701.7571428571429,1
35,750.0,697.554347826087,30.0,0,682.5166666666667,694.5382165605096,705.6331360946746,2133,721.4573863636364,1
36,750.0,697.554347826087,70.0,1,697.96875,694.5382165605096,705.0909090816765,28703,696.1785714285714,1
37,625.0,697.554347826087,52.0,1,697.96875,694.5382165605096,658.9573863636364,40445,696.1785714285714,0
38,700.0,689.625,40.0,1,690.8571428571429,694.5382165605096,705.6331360946746,1431,697.9574468085107,1
39,750.0,689.625,40.0,1,690.8571428571429,694.5382165605096,705.6331360946746,2417,679.2586806910215,1
40,650.0,697.554347826087,35.0,0,682.5166666666667,694.5382165605096,705.6331360946746,1121,696.1785714285714,1
41,720.0,697.554347826087,70.0,1,705.2307692307693,694.5382165605096,705.0909090816765,29099,696.1785714285714,0
42,699.0,697.554347826087,52.0,1,682.5166666666667,694.5382165605096,705.6331360946746,7092,697.9574468085107,1
43,750.0,697.554347826087,65.0,1,697.96875,694.5382165605096,650.7115809171166,13081,670.1111111111111,1
44,695.0,697.554347826087,65.0,1,697.96875,694.5382165605096,714.6027704652122,13904,670.1111111111111,1
45,750.0,697.554347826087,78.0,1,697.96875,677.5945945945946,693.9090457691647,19719,670.1111111111111,1
46,620.0,697.554347826087,60.0,1,697.96875,694.5382165605096,705.6331360946746,7981,670.1111111111111,0
47,500.0,689.625,28.0,0,690.8571428571429,694.5382165605096,705.6331360946746,769,701.7571428571429,0
48,550.0,697.554347826087,38.0,1,682.5166666666667,694.5382165605096,650.7115809171166,10938,670.1111111111111,0
49,750.0,697.554347826087,46.0,0,682.5166666666667,694.5382165605096,705.6331360946746,1476,697.9574468085107,1
50,680.0,689.625,55.0,1,690.8571428571429,694.5382165605096,705.6331360946746,5097,678.3448275862069,0
51,700.0,697.554347826087,50.0,1,682.5166666666667,677.5945945945946,696.4573863636364,32052,670.1111111111111,-1
52,750.0,689.2857224885634,35.0,1,682.5166666666667,694.5382165605096,705.6331360946746,4047,670.1111111111111,-1
53,750.0,697.554347826087,66.0,1,697.96875,694.5382165605096,719.8187226116132,13311,701.7571428571429,1
54,650.0,697.554347826087,65.0,1,682.5166666666667,694.5382165605096,705.0909090816765,29440,679.2586806910215,1
56,600.0,697.554347826087,50.0,1,682.5166666666667,694.5382165605096,661.0789132060843,24430,670.1111111111111,1
57,650.0,697.554347826087,61.0,1,682.5166666666667,694.5382165605096,707.4023832481668,34886,696.1785714285714,1
58,650.0,697.554347826087,65.0,0,697.96875,694.5382165605096,719.8187226116132,11537,697.9574468085107,0
59,700.0,697.554347826087,45.0,1,682.5166666666667,694.5382165605096,705.6331360946746,12321,697.9574468085107,0
60,625.0,697.554347826087,62.0,1,697.96875,694.5382165605096,704.998508748505,11666,678.3448275862069,0
61,595.0,697.554347826087,45.0,1,682.5166666666667,694.5382165605096,705.6331360946746,4543,678.3448275862069,0
62,650.0,697.554347826087,55.0,1,682.5166666666667,694.5382165605096,705.6331360946746,10495,715.6060606060603,1
63,725.0,697.554347826087,50.0,1,682.5166666666667,694.5382165605096,705.6331360946746,7708,696.1785714285714,1
